scenario,method,true,estimate,se,covered,rep,seed
Complete,Untyped naive contrast,1.110844587895831,2.107477430110114,0.16258800267069048,0,0,2381135386
Complete,Coarse locked state,1.110844587895831,1.059691086795552,0.09382226702804211,1,0,2381135386
Complete,Design erasure,1.110844587895831,1.2676698256537882,0.09362881557427058,1,0,2381135386
Complete,Admissible refinement,1.110844587895831,1.09506168257916,0.09170467388240956,1,0,2381135386
Complete,Mediator-as-state,1.110844587895831,0.6241852887806759,0.09493793391645845,0,0,2381135386
Complete,Post-action leakage,1.110844587895831,0.8184860026565757,0.10150643426036039,0,0,2381135386
Complete,Oracle state,1.110844587895831,1.0915885937930363,0.0939118322567312,1,0,2381135386
Observed-state MAR,Untyped naive contrast,1.0727421754351891,1.7755625755695899,0.17565499596951417,0,0,2381135386
Observed-state MAR,Coarse locked state,1.0727421754351891,1.0698846537547346,0.11249150497692663,1,0,2381135386
Observed-state MAR,Design erasure,1.0727421754351891,1.1979459637675136,0.10512155083001279,1,0,2381135386
Observed-state MAR,Admissible refinement,1.0727421754351891,1.0549417258173388,0.10677925956223493,1,0,2381135386
Observed-state MAR,IPCW admissible refinement,1.0727421754351891,1.0576550723539377,0.10791941104129585,1,0,2381135386
Observed-state MAR,Mediator-as-state,1.0727421754351891,0.6150630829237249,0.10378407026371327,0,0,2381135386
Observed-state MAR,Post-action leakage,1.0727421754351891,0.7890818244888466,0.11957085537941496,0,0,2381135386
Observed-state MAR,Oracle state,1.0727421754351891,1.0579106029808143,0.10318160232011987,1,0,2381135386
Complete,Untyped naive contrast,1.0781267176296734,1.956886596425226,0.14767227920346288,0,1,4281132984
Complete,Coarse locked state,1.0781267176296734,1.243891907885079,0.09769390320978201,1,1,4281132984
Complete,Design erasure,1.0781267176296734,1.3598004296637447,0.0884443184142594,0,1,4281132984
Complete,Admissible refinement,1.0781267176296734,1.217285118913815,0.09024784285288794,1,1,4281132984
Complete,Mediator-as-state,1.0781267176296734,0.7429527902408992,0.08662031863455068,0,1,4281132984
Complete,Post-action leakage,1.0781267176296734,0.9729303011820893,0.09075483723695776,1,1,4281132984
Complete,Oracle state,1.0781267176296734,1.215187392198204,0.08939665297221304,1,1,4281132984
Observed-state MAR,Untyped naive contrast,1.0661290233317309,1.945632155502329,0.16073863258217833,0,1,4281132984
Observed-state MAR,Coarse locked state,1.0661290233317309,1.2032239363610076,0.10399148976503399,1,1,4281132984
Observed-state MAR,Design erasure,1.0661290233317309,1.3421840304348909,0.09827334104270222,0,1,4281132984
Observed-state MAR,Admissible refinement,1.0661290233317309,1.2014751173847011,0.09890368599078764,1,1,4281132984
Observed-state MAR,IPCW admissible refinement,1.0661290233317309,1.2042273949263849,0.09793171973284309,1,1,4281132984
Observed-state MAR,Mediator-as-state,1.0661290233317309,0.8435816119918123,0.10242553358988829,0,1,4281132984
Observed-state MAR,Post-action leakage,1.0661290233317309,0.9877637025521313,0.10231620615184461,1,1,4281132984
Observed-state MAR,Oracle state,1.0661290233317309,1.2221936583637096,0.09777206697027313,1,1,4281132984
Complete,Untyped naive contrast,1.0454800384363627,2.0281555434444822,0.14981098851205402,0,2,258979447
Complete,Coarse locked state,1.0454800384363627,0.9352535326227565,0.10834531279354709,1,2,258979447
Complete,Design erasure,1.0454800384363627,1.0346281214099065,0.09760772218619732,1,2,258979447
Complete,Admissible refinement,1.0454800384363627,0.9167945986581343,0.09904531261472693,1,2,258979447
