scenario,method,true,estimate,bias,bias_mcse,rmse,mean_se,coverage,coverage_mcse,n_rep
Complete,Admissible refinement,1.068222858710582,1.0571686082436327,-0.011054250466949342,0.002882904559125116,0.09178792955347345,0.0905315397701376,0.947,0.007084560677981384,1000
Complete,Coarse locked state,1.068222858710582,1.0545819754060384,-0.013640883304543543,0.0029694416595132922,0.09484112970020957,0.09464524013150243,0.948,0.007021111023192843,1000
Complete,Design erasure,1.068222858710582,1.2089247953300517,0.14070193661946997,0.0029361503991569104,0.16855086222197785,0.09205834040731131,0.655,0.015032464867745409,1000
Complete,Mediator-as-state,1.068222858710582,0.6665343786089915,-0.40168848010159036,0.00295513284736903,0.41240479189963286,0.09540715934426715,0.009,0.002986469487538756,1000
Complete,Oracle state,1.068222858710582,1.0638105215724991,-0.004412337138082668,0.0028207560649916095,0.0892646449185167,0.0886497220431527,0.946,0.0071473071852271785,1000
Complete,Post-action leakage,1.068222858710582,0.8416246821436826,-0.2265981765668993,0.0030714977444575168,0.24651855491880745,0.09802086589140335,0.358,0.01516034300403523,1000
Complete,Untyped naive contrast,1.068222858710582,1.8524890874093498,0.784266228698768,0.0048693642190650145,0.7992249462244038,0.15404391519642208,0.001,0.0009994998749374609,1000
Observed-state MAR,Admissible refinement,1.0687290022718308,1.0626564832418917,-0.006072519029938969,0.003235786671892046,0.10245350437138388,0.10388914464187302,0.952,0.006759881655768837,1000
Observed-state MAR,Coarse locked state,1.0687290022718308,1.0636456238814858,-0.005083378390344744,0.0033381797047627674,0.10563210228622817,0.10839253867553106,0.96,0.00619677335393187,1000
Observed-state MAR,Design erasure,1.0687290022718308,1.213519425974313,0.14479042370248238,0.0032368457414162404,0.17728778857923377,0.10560403703795597,0.727,0.014087973594523805,1000
Observed-state MAR,IPCW admissible refinement,1.0687290022718308,1.0596630277833943,-0.009065974488436488,0.0032468294127640895,0.10302209096974974,0.10417545630548898,0.956,0.006485676526007139,1000
Observed-state MAR,Mediator-as-state,1.0687290022718308,0.6978671555851318,-0.37086184668669897,0.0032708214042309375,0.3850014074176684,0.11005996618392223,0.07,0.008068457101577725,1000
Observed-state MAR,Oracle state,1.0687290022718308,1.0664464106894516,-0.0022825915823788926,0.0031493439894815065,0.09956736122269765,0.10165374133462968,0.956,0.006485676526007139,1000
Observed-state MAR,Post-action leakage,1.0687290022718308,0.8638167757704696,-0.2049122265013611,0.003395900021834143,0.23132147628588215,0.11222075427861868,0.552,0.015725647840391186,1000
Observed-state MAR,Untyped naive contrast,1.0687290022718308,1.8593230029729322,0.7905940007011015,0.005410225225511848,0.8088758498053625,0.17568632042810944,0.004,0.001995995991979944,1000
