variant,method,true,estimate,se,covered,rep,seed
Baseline,Design erasure,1.066789058666513,1.2427233242162121,0.08935069897314958,0,0,2886195451
Baseline,Admissible refinement,1.066789058666513,1.145731746132113,0.08718488285258291,1,0,2886195451
Baseline,Oracle state,1.066789058666513,1.1498409036392043,0.08508088481201583,1,0,2886195451
Positivity stress,Design erasure,1.1070997402382652,1.3510218167730834,0.09546446670206833,0,0,2886195451
Positivity stress,Admissible refinement,1.1070997402382652,1.0639483447934825,0.09142011815716494,1,0,2886195451
Positivity stress,Oracle state,1.1070997402382652,1.0834891701091092,0.08838569062396649,1,0,2886195451
Outcome compression,Design erasure,1.0679055150722574,1.2211308762529904,0.08786499123743506,1,0,2886195451
Outcome compression,Admissible refinement,1.0679055150722574,1.149448753516191,0.08916759846563273,1,0,2886195451
Outcome compression,Oracle state,1.0679055150722574,1.159223038741779,0.08638161702978733,1,0,2886195451
Nonclassical representation,Design erasure,1.0634782572165684,1.132029693796041,0.08840701079310281,1,0,2886195451
Nonclassical representation,Admissible refinement,1.0634782572165684,1.081710473298299,0.09015698574579756,1,0,2886195451
Nonclassical representation,Oracle state,1.0634782572165684,1.0507008045838633,0.0862094121929363,1,0,2886195451
Baseline,Design erasure,1.0348871924533836,1.0730507177121176,0.08383428039382364,1,1,1014851345
Baseline,Admissible refinement,1.0348871924533836,0.8375797287095198,0.07766078579510709,0,1,1014851345
Baseline,Oracle state,1.0348871924533836,0.8521417586865333,0.07673732733145046,0,1,1014851345
Positivity stress,Design erasure,1.0820886063871453,1.4873764904486961,0.09783088094064864,0,1,1014851345
Positivity stress,Admissible refinement,1.0820886063871453,1.2728319175014866,0.09930165940875146,1,1,1014851345
Positivity stress,Oracle state,1.0820886063871453,1.295179420987071,0.09840355512168873,0,1,1014851345
Outcome compression,Design erasure,1.056527067226284,1.0902081497618443,0.08509149142971095,1,1,1014851345
Outcome compression,Admissible refinement,1.056527067226284,1.0322128404547444,0.0866346835028165,1,1,1014851345
Outcome compression,Oracle state,1.056527067226284,1.0204925789570785,0.08104585633508057,1,1,1014851345
Nonclassical representation,Design erasure,1.0965252313205627,1.1907821270463745,0.09261472976800035,1,1,1014851345
Nonclassical representation,Admissible refinement,1.0965252313205627,1.137769971589175,0.09310818955620773,1,1,1014851345
Nonclassical representation,Oracle state,1.0965252313205627,1.134747934397763,0.08820413642491874,1,1,1014851345
Baseline,Design erasure,1.0783820615814805,1.374609641940117,0.08558079456504249,0,2,3425601153
Baseline,Admissible refinement,1.0783820615814805,1.2176085251554412,0.08861275183040464,1,2,3425601153
Baseline,Oracle state,1.0783820615814805,1.2496346698531073,0.0893435197888026,1,2,3425601153
Positivity stress,Design erasure,1.0912193690105474,1.3856742616974143,0.09370538106805133,0,2,3425601153
Positivity stress,Admissible refinement,1.0912193690105474,1.049135424435976,0.09970769543946763,1,2,3425601153
Positivity stress,Oracle state,1.0912193690105474,1.0651783158847978,0.09910510725169443,1,2,3425601153
Outcome compression,Design erasure,1.0745908215845557,1.1804328840216767,0.0926633273507736,1,2,3425601153
Outcome compression,Admissible refinement,1.0745908215845557,1.1017547106549674,0.09439364090370661,1,2,3425601153
Outcome compression,Oracle state,1.0745908215845557,1.108571824584407,0.09313459252522922,1,2,3425601153
Nonclassical representation,Design erasure,1.0387900318823393,0.8753384792899094,0.08301461702715558,0,2,3425601153
Nonclassical representation,Admissible refinement,1.0387900318823393,0.8489114982262291,0.08404585741575324,0,2,3425601153
Nonclassical representation,Oracle state,1.0387900318823393,0.8267061279439042,0.08224621297837986,0,2,3425601153
Baseline,Design erasure,1.056051937393206,1.1479066432789673,0.09002107434224682,1,3,2495984827
Baseline,Admissible refinement,1.056051937393206,0.9982617970311228,0.08951452483468218,1,3,2495984827
Baseline,Oracle state,1.056051937393206,0.9886181151217125,0.08654975197110158,1,3,2495984827
Positivity stress,Design erasure,1.0734098650551707,1.377087334031953,0.10259022282249021,0,3,2495984827
Positivity stress,Admissible refinement,1.0734098650551707,1.1015997266295805,0.1075854607795964,1,3,2495984827
Positivity stress,Oracle state,1.0734098650551707,1.105054384755388,0.10340478937882953,1,3,2495984827
Outcome compression,Design erasure,1.0383356620549093,0.9526878357947957,0.0827463178023284,1,3,2495984827
Outcome compression,Admissible refinement,1.0383356620549093,0.8795095034443011,0.08405658681023204,1,3,2495984827
Outcome compression,Oracle state,1.0383356620549093,0.924493198394981,0.08289132109104254,1,3,2495984827
Nonclassical representation,Design erasure,1.0686015628118963,1.0998784270117863,0.08555445391547033,1,3,2495984827
Nonclassical representation,Admissible refinement,1.0686015628118963,1.0680908938773688,0.08510186744660175,1,3,2495984827
Nonclassical representation,Oracle state,1.0686015628118963,1.0611599299929901,0.08480804229719556,1,3,2495984827
Baseline,Design erasure,1.0915502906629908,1.0911595250866821,0.09020610058863818,1,4,2391577315
Baseline,Admissible refinement,1.0915502906629908,0.9092819424495744,0.08856252063584391,0,4,2391577315
Baseline,Oracle state,1.0915502906629908,0.9850092725192076,0.08712558784454864,1,4,2391577315
Positivity stress,Design erasure,1.1072189134713584,1.4653136172032235,0.09745040025851828,0,4,2391577315
Positivity stress,Admissible refinement,1.1072189134713584,1.1934353271082219,0.0992850918176228,1,4,2391577315
Positivity stress,Oracle state,1.1072189134713584,1.215282779524346,0.09696988591749815,1,4,2391577315
