variant,method,true,estimate,bias,bias_mcse,rmse,mean_se,coverage,coverage_mcse,n_rep
Baseline,Admissible refinement,1.067995103603755,1.0596436669735976,-0.008351436630157302,0.002982764321494918,0.09464529892378695,0.09043760033076514,0.939,0.007568289106528638,1000
Baseline,Design erasure,1.067995103603755,1.210001430971569,0.1420063273678141,0.0030604363033313537,0.1718217131473101,0.09201945406535594,0.668,0.014892145580808697,1000
Baseline,Oracle state,1.067995103603755,1.0656390962622262,-0.0023560073415285435,0.0029551764485288546,0.09343385652262788,0.08856284658504222,0.932,0.00796090447122687,1000
Nonclassical representation,Admissible refinement,1.0677668647603373,1.0665270595736736,-0.0012398051866635558,0.0028810117067567275,0.09106846513978217,0.09071938075340145,0.952,0.006759881655768837,1000
Nonclassical representation,Design erasure,1.0677668647603373,1.1126907345923824,0.04492386983204517,0.0028561594919265863,0.1008347334848739,0.09003987406917394,0.921,0.008529888627643386,1000
Nonclassical representation,Oracle state,1.0677668647603373,1.0626913486618257,-0.005075516098511335,0.0028148336185009233,0.08911299498507166,0.08822376040151805,0.957,0.006414904519944161,1000
Outcome compression,Admissible refinement,1.0617812451813733,1.0563143389048373,-0.005466906276536049,0.003005201241676174,0.09514247386265229,0.09044992154246462,0.947,0.007084560677981384,1000
Outcome compression,Design erasure,1.0617812451813733,1.1157507847660306,0.05396953958465715,0.002944334804353408,0.1075785737759456,0.08871513281966202,0.894,0.009734680272099335,1000
Outcome compression,Oracle state,1.0617812451813733,1.062576067301792,0.0007948221204186468,0.0029224556921315483,0.09237336340852119,0.08849549910625826,0.949,0.006956938982052382,1000
Positivity stress,Admissible refinement,1.0704602750939238,1.057375624757971,-0.013084650335953022,0.0032237315957743705,0.10272906614296914,0.09981916734111954,0.94,0.007509993342207438,1000
Positivity stress,Design erasure,1.0704602750939238,1.3168138495461572,0.24635357445223316,0.003152803361628424,0.26574482593918997,0.09778092003139349,0.296,0.01443551176785915,1000
Positivity stress,Oracle state,1.0704602750939238,1.0672662997818865,-0.0031939753120376535,0.0031528252313254078,0.0997023977175912,0.0981367512756248,0.948,0.007021111023192843,1000
