procedure,estimate,se,covered,selected_abs_t,rep,seed
Same data selection and inference,0.18966934393920326,0.08065379427442798,0,2.3516481232593374,0,1568739954
Split selection and independent inference,0.0614164745537957,0.11830459966493463,1,0.5191385180943179,0,1568739954
Same data selection and inference,-0.192952766651453,0.08200000813045402,0,2.353082286827142,1,4007338261
Split selection and independent inference,-0.04963787838169065,0.11709885151362465,1,0.423897226489153,1,4007338261
Same data selection and inference,-0.1410521921762048,0.07919477416000181,1,1.7810795430924373,2,1034551325
Split selection and independent inference,-0.1306966698595518,0.12583144339552227,1,1.0386646320883153,2,1034551325
Same data selection and inference,-0.1608563542065692,0.0800450026710736,0,2.009573975124608,3,225055803
Split selection and independent inference,-0.10476969154771641,0.10708784754431545,1,0.9783527631775423,3,225055803
Same data selection and inference,-0.17713201850138394,0.10353204835004881,1,1.7108906983322563,4,665712892
Split selection and independent inference,-0.10276231774913895,0.13849875709907125,1,0.7419728516092803,4,665712892
Same data selection and inference,-0.19016267075375184,0.08675746680631988,0,2.1918882345686397,5,2621771103
Split selection and independent inference,0.06037801352650412,0.12087770200158017,1,0.4994967022595683,5,2621771103
Same data selection and inference,0.1926852645787137,0.09635923696451211,0,1.999655358932297,6,2753317723
Split selection and independent inference,0.05051494925525258,0.13580132714332754,1,0.37197684527735175,6,2753317723
Same data selection and inference,0.1688678706555714,0.09498171064088828,1,1.777898813530909,7,1162650143
Split selection and independent inference,0.03984190193388338,0.12236659487047163,1,0.3255945952901371,7,1162650143
Same data selection and inference,-0.17117896143802191,0.09517657450011385,1,1.798540894511991,8,3127119153
Split selection and independent inference,-0.14773563502067497,0.13067652284968664,1,1.1305445829057674,8,3127119153
Same data selection and inference,0.1663357985598083,0.08677284723831537,1,1.916910691001979,9,1403734815
Split selection and independent inference,0.10990170779578182,0.11835414251905238,1,0.9285835329176593,9,1403734815
Same data selection and inference,0.26649180019542673,0.09096632410322615,0,2.9295654498803203,10,1893712680
Split selection and independent inference,0.2588333015576093,0.12728763758574466,0,2.033452002620849,10,1893712680
Same data selection and inference,0.21918044155844976,0.0923020039161411,0,2.374601116543268,11,3031707644
Split selection and independent inference,-0.07644542292309847,0.1354311279116706,1,0.5644597671294361,11,3031707644
Same data selection and inference,0.19502719702860377,0.08543906731564646,0,2.282646606008636,12,2106277834
Split selection and independent inference,-0.08023076908048145,0.12081463389432567,1,0.6640815478583316,12,2106277834
Same data selection and inference,0.1720334524223586,0.08332319966679343,0,2.0646524990676594,13,1010572871
Split selection and independent inference,0.004211663192657206,0.11310025873468384,1,0.03723831616103667,13,1010572871
Same data selection and inference,-0.1991779863512522,0.08900638098989883,0,2.237794460757331,14,2149830753
Split selection and independent inference,0.03764228095078028,0.12037135062132237,1,0.3127179412416794,14,2149830753
Same data selection and inference,-0.168699056102603,0.0845868672155307,0,1.9943882739237888,15,2776764
Split selection and independent inference,-0.08494683479357873,0.11358784673080854,1,0.7478514404352954,15,2776764
Same data selection and inference,0.19319341060625914,0.08078491210765812,0,2.391454116441938,16,1947303658
Split selection and independent inference,-0.05717039893517336,0.12240461437952975,1,0.46706081486364465,16,1947303658
Same data selection and inference,0.17930810856744156,0.09448239039603024,1,1.8977939467434912,17,4093174624
Split selection and independent inference,0.02140612748966588,0.15446923637581417,1,0.13857858038209037,17,4093174624
Same data selection and inference,0.22272675006703796,0.09889689438727406,0,2.2521106597630247,18,227696471
Split selection and independent inference,0.05406488426052189,0.1261705858549865,1,0.4285062472695584,18,227696471
Same data selection and inference,-0.2251549938171121,0.08105515013564864,0,2.777799972491659,19,1086128803
Split selection and independent inference,0.06638224261993393,0.11929806088151924,1,0.5564402483110048,19,1086128803
Same data selection and inference,0.19771344315424075,0.0796528459400376,0,2.482189315659591,20,2970834917
Split selection and independent inference,0.008308650510464798,0.10854807888612045,1,0.07654350584298722,20,2970834917
Same data selection and inference,0.15686558094326478,0.09061782053558023,1,1.7310676864234775,21,3472401596
Split selection and independent inference,0.05469534040938248,0.12486960711875603,1,0.438019640418705,21,3472401596
Same data selection and inference,0.1977421191114969,0.0857126950328142,0,2.3070342034606823,22,2303501974
Split selection and independent inference,-0.03262934410266868,0.12327252663953056,1,0.26469275021905186,22,2303501974
Same data selection and inference,-0.13951275259896087,0.08821379202393695,1,1.5815299331095967,23,2416128387
Split selection and independent inference,0.007641899177393276,0.12211579274743843,1,0.06257912269544331,23,2416128387
Same data selection and inference,0.27505287986739724,0.09044382434257216,0,3.041146057972795,24,3935871846
Split selection and independent inference,0.13686946153873525,0.12066694170417155,1,1.1342747201987267,24,3935871846
Same data selection and inference,0.22821896026378288,0.08363244307722437,0,2.7288328771293995,25,4144799487
Split selection and independent inference,0.05237168936154724,0.11060273655632058,1,0.47351169593239484,25,4144799487
Same data selection and inference,0.1983515948533575,0.08781350241627765,0,2.258782412675864,26,1191373547
Split selection and independent inference,-0.001981172740576263,0.12941252430898065,1,0.015308972227804526,26,1191373547
Same data selection and inference,-0.22721985571400602,0.08269306578551139,0,2.747749808954563,27,1654209772
Split selection and independent inference,-0.1514878398083215,0.10952402134121482,1,1.3831471667422728,27,1654209772
Same data selection and inference,0.14570540566219517,0.07537665952715994,1,1.9330308158547962,28,2300171503
Split selection and independent inference,0.03486513659703972,0.11486473417357182,1,0.30353212278674757,28,2300171503
Same data selection and inference,-0.18021267009073108,0.08521487269842866,0,2.1148030195209593,29,3761077900
Split selection and independent inference,-0.05996955355938669,0.12146508125309739,1,0.49371846575747835,29,3761077900
Same data selection and inference,0.21538886353903405,0.09155255723385675,0,2.35262531213472,30,479406302
Split selection and independent inference,-0.051033730728510404,0.12684524169840883,1,0.4023306672381908,30,479406302
Same data selection and inference,0.2195741594971681,0.07992526072274508,0,2.7472435812108875,31,3893259571
Split selection and independent inference,0.11130484805177505,0.10218416060269161,1,1.089257350603937,31,3893259571
Same data selection and inference,0.20586190873130342,0.09729195020690778,0,2.115919233744449,32,561352451
Split selection and independent inference,0.07280321262206124,0.14280281648282359,1,0.509816363676679,32,561352451
Same data selection and inference,-0.20152618944570772,0.08570309141620397,0,2.3514459760503454,33,738560243
Split selection and independent inference,-0.1981425429392932,0.11918942170948807,1,1.6624171851613243,33,738560243
Same data selection and inference,0.24197124020532496,0.09030274839705063,0,2.6795556558412343,34,1483219075
Split selection and independent inference,0.028194242528843397,0.13113218340055455,1,0.2150062768551764,34,1483219075
Same data selection and inference,-0.14539513863381656,0.08341174647259973,1,1.7431014788975556,35,1864853345
Split selection and independent inference,0.00543847357242222,0.12372133924234002,1,0.043957441826341474,35,1864853345
Same data selection and inference,0.18051296656460888,0.08365945899722016,0,2.1577113781073693,36,2896958156
Split selection and independent inference,0.21990846842994957,0.11298016577879223,1,1.9464342870634121,36,2896958156
Same data selection and inference,-0.22000969983551416,0.08950322706673934,0,2.4581203052205125,37,1783950434
Split selection and independent inference,-0.021807681352428925,0.11667802183420134,1,0.18690479157606468,37,1783950434
Same data selection and inference,0.19076894301297065,0.08131755719405741,0,2.3459748373615903,38,3013853113
Split selection and independent inference,0.0021706781443692103,0.11709698168302331,1,0.0185374389089306,38,3013853113
Same data selection and inference,-0.19491802694408283,0.08975431140117382,0,2.1716842779046006,39,1793870700
Split selection and independent inference,0.13829218120190162,0.12095909152333197,1,1.143297121863934,39,1793870700
Same data selection and inference,0.29103957768582783,0.09220942727900162,0,3.156288746976143,40,139642565
Split selection and independent inference,0.09281328287917474,0.13369060061508237,1,0.6942394039084299,40,139642565
Same data selection and inference,0.16777149693149324,0.08349681473600176,0,2.0093161333393272,41,2372902559
Split selection and independent inference,-0.10118666523011467,0.12312671955882344,1,0.8218091539568146,41,2372902559
Same data selection and inference,0.21314982338754573,0.08835034765155803,0,2.412552174986115,42,4228736863
Split selection and independent inference,-0.09748338119757488,0.13203780530156128,1,0.738299011975642,42,4228736863
Same data selection and inference,0.1885369131719411,0.08588046022243195,0,2.195341206644993,43,2649735046
Split selection and independent inference,-0.09387042798623144,0.1234650440483574,1,0.7602996354941187,43,2649735046
Same data selection and inference,0.24671163352500103,0.09787148926799961,0,2.520771221222917,44,2304777890
Split selection and independent inference,-0.03126895017167848,0.14046386618743342,1,0.22261205689692137,44,2304777890
Same data selection and inference,0.23082416330699876,0.08597043380236359,0,2.6849249573130884,45,2267760747
Split selection and independent inference,0.047527736326874126,0.1201489845446644,1,0.39557335009524014,45,2267760747
Same data selection and inference,0.14693966694929075,0.0847810547825114,1,1.7331662990774845,46,1363428441
Split selection and independent inference,0.005258031614930948,0.1246872721600944,1,0.04216975416849129,46,1363428441
Same data selection and inference,-0.159860816104783,0.09373581735073809,1,1.7054400401355676,47,839361410
Split selection and independent inference,-0.03941754062209268,0.1521548876617904,1,0.259061941603282,47,839361410
Same data selection and inference,0.15147284177328615,0.08061834666494061,1,1.8788879707844321,48,2617335572
Split selection and independent inference,0.015493839203434718,0.1116257399494809,1,0.13880167074768646,48,2617335572
Same data selection and inference,-0.17675774370243874,0.08175786207107372,0,2.1619663140014564,49,3721616363
Split selection and independent inference,0.021551861564832953,0.12003309370094462,1,0.17954933010831287,49,3721616363
Same data selection and inference,-0.30716652082363066,0.09321108474593581,0,3.29538618353032,50,3425541788
Split selection and independent inference,0.04038459379115463,0.13953453615150746,1,0.28942364309940294,50,3425541788
Same data selection and inference,0.18712149009989976,0.08020527535129153,0,2.3330322011903246,51,4117801510
Split selection and independent inference,-0.0042636507457025925,0.11422687987306834,1,0.037326159573302396,51,4117801510
Same data selection and inference,-0.16027932695833008,0.09070806508013067,1,1.766979891112668,52,608324826
Split selection and independent inference,-0.050707565093582124,0.12376707480921309,1,0.4097015718578452,52,608324826
Same data selection and inference,0.2092919278352295,0.08605640977559688,0,2.4320318309930085,53,1609979454
Split selection and independent inference,-0.1087489507260299,0.1343179380853848,1,0.8096383273610044,53,1609979454
Same data selection and inference,0.2516790467924257,0.08085644594993792,0,3.112665215934079,54,999446279
Split selection and independent inference,-0.1417236964745275,0.12028242737505862,1,1.1782577020383185,54,999446279
Same data selection and inference,-0.25986548552726857,0.08514451054758111,0,3.0520521388404545,55,739185073
Split selection and independent inference,-0.19929058960333096,0.1270371449206909,1,1.5687584109966244,55,739185073
Same data selection and inference,-0.16145821443089242,0.07966866817851938,0,2.026621231687986,56,1588135122
Split selection and independent inference,-0.1103082214113181,0.10755794333323548,1,1.0255701995859265,56,1588135122
Same data selection and inference,0.22324316924495005,0.09666578019515178,0,2.3094332740527213,57,2464710013
Split selection and independent inference,0.05428416446854508,0.13103493489929696,1,0.41427245726693857,57,2464710013
Same data selection and inference,0.19901472909791365,0.08142826274008756,0,2.4440497979571614,58,1082939385
Split selection and independent inference,0.12283107061173633,0.11339301486374168,1,1.0832331317703816,58,1082939385
Same data selection and inference,0.21065215624221964,0.08122442011117117,0,2.593458419941956,59,2245037814
Split selection and independent inference,0.010924582224371794,0.1221445480729243,1,0.08943978586624644,59,2245037814
Same data selection and inference,0.21620186912185016,0.08531553978332872,0,2.534144068840523,60,3781352311
Split selection and independent inference,-0.029845260158348076,0.12534542711106086,1,0.23810410037459148,60,3781352311
Same data selection and inference,-0.18078854180741166,0.08698377673702236,0,2.0784167874658834,61,2620613133
Split selection and independent inference,-0.16426802103711885,0.12217986899218115,1,1.344476978016985,61,2620613133
Same data selection and inference,0.19864982485575752,0.08814860161389998,0,2.253578856824801,62,2981849586
Split selection and independent inference,0.052459143390285484,0.11567474304150396,1,0.453505596908594,62,2981849586
Same data selection and inference,-0.15231038415365186,0.08398522717047209,1,1.813537800457386,63,239281765
Split selection and independent inference,0.13651624814534916,0.11629516543220285,1,1.173877242772699,63,239281765
Same data selection and inference,0.24495306588833493,0.08672331484346672,0,2.82453532052446,64,4153492112
Split selection and independent inference,0.12491931258407149,0.12032551552606524,1,1.0381780791706736,64,4153492112
Same data selection and inference,-0.18819370317694278,0.0889099586511285,0,2.11667743447493,65,3168634521
Split selection and independent inference,-0.07606293123891633,0.12637284616129058,1,0.6018929979770865,65,3168634521
Same data selection and inference,0.20840986180541887,0.08130091116662581,0,2.563438205240823,66,1394542824
Split selection and independent inference,-0.0597995879712728,0.11707783585778904,1,0.5107677942041018,66,1394542824
Same data selection and inference,0.20462647549271928,0.07905703906273448,0,2.588339734433276,67,2739261145
Split selection and independent inference,-0.004572600284266299,0.11449685445509279,1,0.03993647079675656,67,2739261145
Same data selection and inference,-0.11393051722842114,0.08371839200586718,1,1.3608779922628784,68,2502320325
Split selection and independent inference,-0.22883484131756843,0.11670546537565578,0,1.9607894161681851,68,2502320325
Same data selection and inference,0.19175307497911925,0.08443715268795098,0,2.270956194931974,69,3299858924
Split selection and independent inference,0.1257323478840739,0.11824299720694625,1,1.0633386403764777,69,3299858924
Same data selection and inference,-0.20236631370030408,0.08026086236400504,0,2.5213573308310258,70,3959509926
Split selection and independent inference,0.07450306218434519,0.10735043834184899,1,0.6940173075688436,70,3959509926
Same data selection and inference,0.21212879227085366,0.08503112563833264,0,2.4947193239933365,71,3545738376
Split selection and independent inference,-0.09919542789174204,0.1258689241438132,1,0.7880851335346681,71,3545738376
Same data selection and inference,0.18515983449639747,0.08741237912155876,0,2.1182335540702724,72,1676114126
Split selection and independent inference,0.12544615113671134,0.12178484616360141,1,1.0300637155479218,72,1676114126
Same data selection and inference,0.1482628805015552,0.08464164662548809,1,1.7516540191800674,73,371976012
Split selection and independent inference,0.07724395268578388,0.11811686425511995,1,0.6539621007796574,73,371976012
Same data selection and inference,-0.144917169173381,0.08063694424411218,1,1.7971560124435435,74,3705269292
Split selection and independent inference,0.09322690631370296,0.10860114023148125,1,0.8584339548829009,74,3705269292
Same data selection and inference,0.18207634680422102,0.08407727808736787,0,2.165583269893902,75,2985839604
Split selection and independent inference,0.08665143103342832,0.12760654747382885,1,0.6790516062759231,75,2985839604
Same data selection and inference,-0.20085303387864156,0.08650577292845421,0,2.3218454338852026,76,2014620431
Split selection and independent inference,0.01376144325056341,0.11733779333904786,1,0.117280569703571,76,2014620431
Same data selection and inference,-0.22254129912179962,0.08463261382667848,0,2.6294981220543208,77,688213288
Split selection and independent inference,-0.15177684200672495,0.12397738354604537,1,1.2242300786284526,77,688213288
Same data selection and inference,0.15206882374967112,0.07918431626193943,1,1.920441205132489,78,1686822476
Split selection and independent inference,-0.13417686892895633,0.1091695994558934,1,1.2290680702109413,78,1686822476
Same data selection and inference,0.2141371412113643,0.09560842661000211,0,2.2397308354927183,79,1547764028
Split selection and independent inference,0.08282030780474395,0.1426490813630579,1,0.5805877403020703,79,1547764028
Same data selection and inference,-0.2190154359445995,0.09263667062719437,0,2.3642412282496843,80,4277733992
Split selection and independent inference,0.030600603350483712,0.12674996550447676,1,0.24142494420957386,80,4277733992
Same data selection and inference,0.12147562679814966,0.08864848849060676,1,1.3703068023660807,81,2507335206
Split selection and independent inference,0.014267694903486595,0.123171061013155,1,0.11583642120256452,81,2507335206
Same data selection and inference,0.15560044780312768,0.0898157810175823,1,1.7324399569900462,82,2668108022
Split selection and independent inference,-0.014748795717893582,0.12384656219791161,1,0.11908926219788349,82,2668108022
Same data selection and inference,-0.17748610386273206,0.08281332489932071,0,2.1432070754133905,83,618549053
Split selection and independent inference,0.036015804633934334,0.11215651766166071,1,0.32112092444401813,83,618549053
Same data selection and inference,-0.20195608789357683,0.09555387121323615,0,2.113531197944828,84,1904831407
Split selection and independent inference,0.09195505130526353,0.13458511063351086,1,0.6832483242196578,84,1904831407
Same data selection and inference,-0.17352602487264288,0.0898144361946693,1,1.9320504834716319,85,3477855473
Split selection and independent inference,0.006420433748420317,0.12513353189142512,1,0.05130865924883466,85,3477855473
Same data selection and inference,0.16694896636571668,0.08114259118894536,0,2.0574763995022796,86,471120315
Split selection and independent inference,0.06463751734322275,0.11155954132825259,1,0.5793992748054909,86,471120315
Same data selection and inference,0.2038216875266435,0.08813611375709572,0,2.3125785655625655,87,1508431954
Split selection and independent inference,-0.006456384694688682,0.12580718105467087,1,0.05131968334846475,87,1508431954
Same data selection and inference,-0.28087310375918545,0.08764954516909149,0,3.204501554655321,88,212410678
Split selection and independent inference,0.020467232827259447,0.12384255815332591,1,0.16526816897564045,88,212410678
Same data selection and inference,-0.26333497018585367,0.0838897121910792,0,3.139061552458832,89,2388228145
Split selection and independent inference,-0.2430224924793841,0.12508081638724367,1,1.9429237791908807,89,2388228145
Same data selection and inference,0.2122149373703014,0.08360311789521564,0,2.538361519438569,90,2781554903
Split selection and independent inference,-0.007370212823408962,0.11808330958269657,1,0.062415364622274795,90,2781554903
Same data selection and inference,-0.19579796667896024,0.07747400165820027,0,2.5272731818188703,91,3425505891
Split selection and independent inference,0.06248398378401452,0.11461188623359414,1,0.5451789150094251,91,3425505891
Same data selection and inference,0.20465390042194379,0.08706121349102293,0,2.3506897298536518,92,1566946714
Split selection and independent inference,-0.0909934591385725,0.13207556537100548,1,0.6889499877056614,92,1566946714
Same data selection and inference,0.22558897683055976,0.08311562663360342,0,2.714158407600271,93,3587540738
Split selection and independent inference,0.1298178350712827,0.12006517879985432,1,1.0812280160568937,93,3587540738
Same data selection and inference,0.19935951923118403,0.09323308488538026,0,2.1382915675939977,94,594152930
Split selection and independent inference,-0.00604371891433954,0.13239289625114364,1,0.04564987310856063,94,594152930
Same data selection and inference,-0.23360514359006943,0.08310418654757026,0,2.810991278476083,95,327873305
Split selection and independent inference,-0.19657444865991572,0.11029989206578443,1,1.782181695542149,95,327873305
Same data selection and inference,0.21430471242556645,0.08446466014954862,0,2.5372115633464927,96,3894825603
Split selection and independent inference,0.06908916561576295,0.11936693502885265,1,0.5787965117732405,96,3894825603
Same data selection and inference,-0.2777209159018626,0.08266493001307933,0,3.3595977866057747,97,1952520761
Split selection and independent inference,-0.18568525571167668,0.12345904293104744,1,1.5040231262393873,97,1952520761
Same data selection and inference,0.17129360368975993,0.09292745927352385,1,1.843304498249244,98,1257411071
Split selection and independent inference,0.06127988455761755,0.12855607824667373,1,0.476678235625962,98,1257411071
Same data selection and inference,-0.2163005190517768,0.08730530695602359,0,2.477518567808589,99,174050092
Split selection and independent inference,0.0034254184850271655,0.1184934479500565,1,0.028908083478767,99,174050092
Same data selection and inference,0.1574681817678735,0.08176642896297162,1,1.9258292647118518,100,1070305686
Split selection and independent inference,-0.021682773081679194,0.12290020956343464,1,0.17642584303721373,100,1070305686
Same data selection and inference,0.26171324943409935,0.0834651815267048,0,3.135597918161405,101,2188511995
Split selection and independent inference,-0.14877507665773884,0.12254469205722375,1,1.214047496959448,101,2188511995
Same data selection and inference,-0.15707945411446436,0.08190050540346265,1,1.9179302171659522,102,1687444936
Split selection and independent inference,0.002742886814487197,0.10999745487351588,1,0.02493591163214816,102,1687444936
Same data selection and inference,0.19031324285327925,0.08579936988616516,0,2.2181193533912724,103,1765652147
Split selection and independent inference,0.13960693963074167,0.12307377837973245,1,1.1343353675223793,103,1765652147
Same data selection and inference,0.1884272571566099,0.08851436807306325,0,2.1287759406594264,104,2818396219
Split selection and independent inference,0.022014733626213426,0.1206645643078418,1,0.1824457225905114,104,2818396219
Same data selection and inference,-0.1820446512497403,0.08475399050711209,0,2.1479183476849286,105,4036419051
Split selection and independent inference,0.04051768612093463,0.12363374150964321,1,0.32772352940377786,105,4036419051
Same data selection and inference,0.20321567632163776,0.09211193983647013,0,2.2061817032885678,106,2526485687
Split selection and independent inference,-0.1315308256429572,0.12026667219921591,1,1.0936598081393885,106,2526485687
Same data selection and inference,-0.21367306819408793,0.08983621317545315,0,2.3784736760528546,107,2954720842
Split selection and independent inference,-0.04114069810379336,0.11419441850576921,1,0.3602689049265126,107,2954720842
Same data selection and inference,0.20708276452824356,0.08140184046297831,0,2.543956787100227,108,1348648593
Split selection and independent inference,0.21351908314911958,0.11845805150680447,1,1.8024868755911845,108,1348648593
Same data selection and inference,-0.26358379484048233,0.08818448981088549,0,2.989004023335015,109,4135902947
Split selection and independent inference,0.0703033011780046,0.13509725108679974,1,0.5203903159571682,109,4135902947
Same data selection and inference,-0.1597783464622556,0.08489507294282718,1,1.882068545601684,110,4158044891
Split selection and independent inference,0.05269718602150815,0.12074256796709615,1,0.4364424817920784,110,4158044891
Same data selection and inference,0.20359502722438017,0.0819690686862029,0,2.483803103873125,111,791336841
Split selection and independent inference,0.10632174404683398,0.10979437908726247,1,0.9683714679267095,111,791336841
Same data selection and inference,0.2394554618759014,0.08940637605246897,0,2.6782817115344737,112,3940389587
Split selection and independent inference,-0.13848785003018618,0.13379937018605192,1,1.0350411204299004,112,3940389587
Same data selection and inference,-0.14671052475767113,0.07663163303472509,1,1.9144903866421623,113,2582354050
Split selection and independent inference,-0.030786241182503234,0.10225842907056798,1,0.30106311491698956,113,2582354050
Same data selection and inference,0.2868812043573794,0.08937840333611319,0,3.2097374046674827,114,324797927
Split selection and independent inference,0.18994301075428574,0.12883029235435792,1,1.4743660616078744,114,324797927
Same data selection and inference,0.24346812002325574,0.08406143256063954,0,2.8963118115745257,115,2122723381
Split selection and independent inference,0.17924940343027113,0.12484743602776052,1,1.4357475742666757,115,2122723381
Same data selection and inference,-0.1491912064289456,0.09421545049948818,1,1.5835110445049145,116,4293871623
Split selection and independent inference,-0.2202857650992899,0.12521792948039637,1,1.759219035272237,116,4293871623
Same data selection and inference,0.16172194096347797,0.07964851406653288,0,2.0304451735080282,117,750847831
Split selection and independent inference,0.020631218699997286,0.11394680771856842,1,0.1810600850789371,117,750847831
Same data selection and inference,0.23886716401257355,0.08595748934905748,0,2.778898800110112,118,3257254270
Split selection and independent inference,0.1661966606059096,0.12901229530806865,1,1.288223422496657,118,3257254270
Same data selection and inference,-0.1496511274862238,0.07396801655994448,0,2.0231869725064877,119,2477742418
Split selection and independent inference,0.02504002699604389,0.11376702923363131,1,0.22009915495483173,119,2477742418
Same data selection and inference,0.11840874842942922,0.08479217982922369,1,1.3964583605222938,120,3359082389
Split selection and independent inference,0.28902868673240045,0.1187850081454455,0,2.4332084599304085,120,3359082389
Same data selection and inference,-0.21261132579387956,0.08991052678414285,0,2.364698922344396,121,2635605313
Split selection and independent inference,0.052677230948109395,0.12370506230706416,1,0.4258292261100237,121,2635605313
Same data selection and inference,-0.21102395265404117,0.07767922694822377,0,2.716607269980903,122,336827255
Split selection and independent inference,-0.23234398922509877,0.11252760733098803,0,2.0647732119788484,122,336827255
Same data selection and inference,-0.1317853395609113,0.08430384852411645,1,1.563218546579306,123,2492174637
Split selection and independent inference,0.04030512373586836,0.12043521381699702,1,0.33466228404852216,123,2492174637
Same data selection and inference,-0.1383991416869601,0.08369938960420875,1,1.6535262962061175,124,2640182422
Split selection and independent inference,-0.015098048587295085,0.11419971498268103,1,0.13220741040890321,124,2640182422
Same data selection and inference,-0.23318040159628925,0.09426598232682099,0,2.4736431514377135,125,3745606149
Split selection and independent inference,-0.029935759991032505,0.13330922178111582,1,0.22455880839350242,125,3745606149
Same data selection and inference,-0.24537304067254298,0.08857112390633354,0,2.770350311146914,126,1563987085
Split selection and independent inference,-0.12952529439269556,0.12639846166419522,1,1.0247379017697813,126,1563987085
